OTU_421	SRR10803250.138844;size=2
OTU_422	SRR10803250.139662;size=2
OTU_423	SRR10803250.141311;size=2
OTU_424	SRR10803250.142076;size=2
OTU_425	SRR10803250.143607;size=2
OTU_426	SRR10803250.14389;size=2
OTU_427	SRR10803250.145059;size=2
OTU_428	SRR10803250.145335;size=2
OTU_429	SRR10803250.146131;size=2
OTU_430	SRR10803250.147972;size=2
OTU_431	SRR10803250.151414;size=2
OTU_432	SRR10803250.151474;size=2
OTU_433	SRR10803250.152265;size=2
OTU_434	SRR10803250.155321;size=2
OTU_435	SRR10803250.15585;size=2
OTU_436	SRR10803250.155921;size=2
OTU_437	SRR10803250.155987;size=2
OTU_438	SRR10803250.156567;size=2
OTU_439	SRR10803250.156641;size=2
OTU_440	SRR10803250.157420;size=2
OTU_441	SRR10803250.157668;size=2
OTU_442	SRR10803250.159162;size=2
OTU_443	SRR10803250.159564;size=2
OTU_444	SRR10803250.160295;size=2
OTU_445	SRR10803250.16209;size=2
OTU_446	SRR10803250.162590;size=2
OTU_447	SRR10803250.163962;size=2
OTU_448	SRR10803250.164746;size=2
OTU_449	SRR10803250.166274;size=2
OTU_450	SRR10803250.166456;size=2
OTU_451	SRR10803250.168617;size=2
OTU_452	SRR10803250.175342;size=2
OTU_453	SRR10803250.17673;size=2
OTU_454	SRR10803250.179696;size=2
OTU_455	SRR10803250.180683;size=2
OTU_456	SRR10803250.181005;size=2
OTU_457	SRR10803250.181383;size=2
OTU_458	SRR10803250.182641;size=2
OTU_459	SRR10803250.18483;size=2
OTU_460	SRR10803250.185753;size=2
OTU_461	SRR10803250.187408;size=2
OTU_462	SRR10803250.187741;size=2
OTU_463	SRR10803250.190193;size=2
OTU_464	SRR10803250.19093;size=2
OTU_465	SRR10803250.191930;size=2
OTU_466	SRR10803250.196570;size=2
OTU_467	SRR10803250.196722;size=2
OTU_468	SRR10803250.200323;size=2
OTU_469	SRR10803250.200666;size=2
OTU_470	SRR10803250.20074;size=2
OTU_471	SRR10803250.203191;size=2
OTU_472	SRR10803250.205401;size=2
OTU_473	SRR10803250.20595;size=2
OTU_474	SRR10803250.206283;size=2
OTU_475	SRR10803250.20802;size=2
OTU_476	SRR10803250.211671;size=2
OTU_477	SRR10803250.212316;size=2
OTU_478	SRR10803250.21233;size=2
OTU_479	SRR10803250.213553;size=2
OTU_480	SRR10803250.214363;size=2
OTU_481	SRR10803250.216148;size=2
OTU_482	SRR10803250.216911;size=2
OTU_483	SRR10803250.218213;size=2
OTU_484	SRR10803250.21953;size=2
OTU_485	SRR10803250.221487;size=2
OTU_486	SRR10803250.223844;size=2
OTU_487	SRR10803250.224321;size=2
OTU_488	SRR10803250.225106;size=2
OTU_489	SRR10803250.225738;size=2
OTU_490	SRR10803250.226864;size=2
OTU_491	SRR10803250.227574;size=2
OTU_492	SRR10803250.228776;size=2
OTU_493	SRR10803250.230920;size=2
OTU_494	SRR10803250.231676;size=2
OTU_495	SRR10803250.23208;size=2
OTU_496	SRR10803250.233569;size=2
OTU_497	SRR10803250.235205;size=2
OTU_498	SRR10803250.238601;size=2
OTU_499	SRR10803250.240003;size=2
OTU_500	SRR10803250.244856;size=2
OTU_501	SRR10803250.245045;size=2
OTU_502	SRR10803250.245980;size=2
OTU_503	SRR10803250.2528;size=2
OTU_504	SRR10803250.257099;size=2
OTU_505	SRR10803250.262436;size=2
OTU_506	SRR10803250.26389;size=2
OTU_507	SRR10803250.265450;size=2
OTU_508	SRR10803250.269369;size=2
OTU_509	SRR10803250.26964;size=2
OTU_510	SRR10803250.269863;size=2
OTU_511	SRR10803250.270472;size=2
OTU_512	SRR10803250.270535;size=2
OTU_513	SRR10803250.271790;size=2
OTU_514	SRR10803250.281404;size=2
OTU_515	SRR10803250.28205;size=2
OTU_516	SRR10803250.28238;size=2
OTU_517	SRR10803250.282832;size=2
OTU_518	SRR10803250.284103;size=2
OTU_519	SRR10803250.284171;size=2
OTU_520	SRR10803250.288282;size=2
OTU_521	SRR10803250.28979;size=2
OTU_522	SRR10803250.30265;size=2
OTU_523	SRR10803250.303121;size=2
OTU_524	SRR10803250.304474;size=2
OTU_525	SRR10803250.305256;size=2
OTU_526	SRR10803250.320370;size=2
OTU_527	SRR10803250.320788;size=2
OTU_528	SRR10803250.324649;size=2
OTU_529	SRR10803250.33415;size=2
OTU_530	SRR10803250.335356;size=2
OTU_531	SRR10803250.335813;size=2
OTU_532	SRR10803250.33867;size=2
OTU_533	SRR10803250.354259;size=2
OTU_534	SRR10803250.35902;size=2
OTU_535	SRR10803250.360199;size=2
OTU_536	SRR10803250.360534;size=2
OTU_537	SRR10803250.367070;size=2
OTU_538	SRR10803250.37333;size=2
OTU_539	SRR10803250.37554;size=2
OTU_540	SRR10803250.383712;size=2
OTU_541	SRR10803250.38377;size=2
OTU_542	SRR10803250.4070;size=2
OTU_543	SRR10803250.41476;size=2
OTU_544	SRR10803250.41592;size=2
OTU_545	SRR10803250.4220;size=2
OTU_546	SRR10803250.42348;size=2
OTU_547	SRR10803250.43230;size=2
OTU_548	SRR10803250.43459;size=2
OTU_549	SRR10803250.44581;size=2
OTU_550	SRR10803250.45004;size=2
OTU_551	SRR10803250.45662;size=2
OTU_552	SRR10803250.4662;size=2
OTU_553	SRR10803250.46706;size=2
OTU_554	SRR10803250.47662;size=2
OTU_555	SRR10803250.47679;size=2
OTU_556	SRR10803250.48064;size=2
OTU_557	SRR10803250.48841;size=2
OTU_558	SRR10803250.49043;size=2
OTU_559	SRR10803250.50129;size=2
OTU_560	SRR10803250.5027;size=2
OTU_561	SRR10803250.51986;size=2
OTU_562	SRR10803250.53424;size=2
OTU_563	SRR10803250.54750;size=2
OTU_564	SRR10803250.55741;size=2
OTU_565	SRR10803250.5657;size=2
OTU_566	SRR10803250.57791;size=2
OTU_567	SRR10803250.5785;size=2
OTU_568	SRR10803250.58287;size=2
OTU_569	SRR10803250.58994;size=2
OTU_570	SRR10803250.62512;size=2
OTU_571	SRR10803250.627;size=2
OTU_572	SRR10803250.62938;size=2
OTU_573	SRR10803250.6471;size=2
OTU_574	SRR10803250.66105;size=2
OTU_575	SRR10803250.66516;size=2
